FrameNumber,CocaineLeverPress,SucrosePump,SucroseLeverCue,SucroseLeverPress,CocaineLeverCue,CocainePump,Licks,TrueSucrosePresses,FalseSucrosePresses,TrueCocainePresses,FalseCocainePresses,DeliberatePress,non_deliberatePress,timeData,Trial,trialClass
4842,0,0,0,1,0,0,0,0,0,0,0,0,1,324.172329528337,8,0
4843,0,0,0,0,0,0,0,0,0,0,0,0,0,324.239279617045,8,0
4844,0,0,0,0,0,0,0,0,0,0,0,0,0,324.306229705754,8,0
4845,0,0,0,0,0,0,0,0,0,0,0,0,0,324.373179794463,8,0
4846,0,0,0,0,0,0,0,0,0,0,0,0,0,324.440129883172,8,0
4847,0,0,0,0,0,0,0,0,0,0,0,0,0,324.507079971881,8,0
4848,0,0,0,0,0,0,0,0,0,0,0,0,0,324.57403006059,8,0
4849,0,0,0,0,0,0,0,0,0,0,0,0,0,324.640980149299,8,0
4850,0,0,0,0,0,0,0,0,0,0,0,0,0,324.707930238008,8,0
4851,0,0,0,0,0,0,0,0,0,0,0,0,0,324.774880326716,8,0
4852,0,0,0,0,0,0,0,0,0,0,0,0,0,324.841830415425,8,0
4853,0,0,0,0,0,0,0,0,0,0,0,0,0,324.908780504134,8,0
4854,0,0,0,0,0,0,0,0,0,0,0,0,0,324.975730592843,8,0
4855,0,0,1,0,0,0,0,0,0,0,0,0,0,325.042680681552,8,0
5421,0,0,0,0,0,0,0,0,0,0,0,0,0,362.936430890771,9,0
5422,0,0,0,0,0,0,0,0,0,0,0,0,0,363.00338097948,9,0
5423,0,0,0,0,0,0,0,0,0,0,0,0,0,363.070331068189,9,0
5424,0,0,0,0,0,0,0,0,0,0,0,0,0,363.137281156898,9,0
5425,0,0,0,0,0,0,0,0,0,0,0,0,0,363.204231245606,9,0
5426,0,0,0,0,0,0,0,0,0,0,0,0,0,363.271181334315,9,0
5427,0,0,0,0,0,0,0,0,0,0,0,0,0,363.338131423024,9,0
5428,0,0,0,0,0,0,0,0,0,0,0,0,0,363.405081511733,9,0
5429,0,0,0,0,0,0,0,0,0,0,0,0,0,363.472031600442,9,0
5430,0,0,0,0,0,0,0,0,0,0,0,0,0,363.538981689151,9,0
5431,0,0,0,0,0,0,0,0,0,0,0,0,0,363.60593177786,9,0
5432,0,0,0,0,0,0,0,0,0,0,0,0,0,363.672881866568,9,0
5433,0,0,0,0,0,0,0,0,0,0,0,0,0,363.739831955277,9,0
5434,0,0,0,0,0,0,0,0,0,0,0,0,0,363.806782043986,9,0
5435,0,0,0,0,0,0,0,0,0,0,0,0,0,363.873732132695,9,0
5436,0,0,0,1,0,0,0,1,0,0,0,1,0,363.940682221404,9,0
5437,0,0,0,0,0,0,0,0,0,0,0,0,0,364.007632310113,9,0
5438,0,0,0,0,0,0,0,0,0,0,0,0,0,364.074582398822,9,0
5439,0,0,0,0,0,0,0,0,0,0,0,0,0,364.141532487531,9,0
5440,0,0,0,0,0,0,0,0,0,0,0,0,0,364.208482576239,9,0
5441,0,0,0,0,0,0,0,0,0,0,0,0,0,364.275432664948,9,0
5442,0,0,0,0,0,0,0,0,0,0,0,0,0,364.342382753657,9,0
5443,0,0,0,0,0,0,0,0,0,0,0,0,0,364.409332842366,9,0
5444,0,0,0,0,0,0,0,0,0,0,0,0,0,364.476282931075,9,0
5445,0,0,0,0,0,0,0,0,0,0,0,0,0,364.543233019784,9,0
5446,0,0,0,0,0,0,0,0,0,0,0,0,0,364.610183108493,9,0
5447,0,0,0,0,0,0,0,0,0,0,0,0,0,364.677133197201,9,0
5448,0,0,0,0,0,0,0,0,0,0,0,0,0,364.74408328591,9,0
5449,0,0,0,0,0,0,0,0,0,0,0,0,0,364.811033374619,9,0
5450,0,0,0,0,0,0,0,0,0,0,0,0,0,364.877983463328,9,0
5451,0,0,1,0,0,0,0,0,0,0,0,0,0,364.944933552037,9,0
6079,0,0,0,0,0,0,0,0,0,0,0,0,0,406.989589261206,10,0
6080,0,0,0,0,0,0,0,0,0,0,0,0,0,407.056539349915,10,0
6081,0,0,0,0,0,0,0,0,0,0,0,0,0,407.123489438623,10,0
6082,0,0,0,0,0,0,0,0,0,0,0,0,0,407.190439527332,10,0
6083,0,0,0,0,0,0,0,0,0,0,0,0,0,407.257389616041,10,0
6084,0,0,0,0,0,0,0,0,0,0,0,0,0,407.32433970475,10,0
6085,0,0,0,0,0,0,0,0,0,0,0,0,0,407.391289793459,10,0
6086,0,0,0,0,0,0,0,0,0,0,0,0,0,407.458239882168,10,0
6087,0,0,0,0,0,0,0,0,0,0,0,0,0,407.525189970877,10,0
6088,0,0,0,0,0,0,0,0,0,0,0,0,0,407.592140059586,10,0
6089,0,0,0,0,0,0,0,0,0,0,0,0,0,407.659090148294,10,0
6090,0,0,0,0,0,0,0,0,0,0,0,0,0,407.726040237003,10,0
6091,0,0,0,0,0,0,0,0,0,0,0,0,0,407.792990325712,10,0
6092,0,0,0,0,0,0,0,0,0,0,0,0,0,407.859940414421,10,0
6093,0,0,0,0,0,0,0,0,0,0,0,0,0,407.92689050313,10,0
6094,0,0,0,1,0,0,0,1,0,0,0,1,0,407.993840591839,10,0
6095,0,0,0,0,0,0,0,0,0,0,0,0,0,408.060790680548,10,0
6096,1,0,0,0,0,0,0,0,0,0,1,0,1,408.127740769256,10,0
6097,0,0,0,0,0,0,0,0,0,0,0,0,0,408.194690857965,10,0
6098,0,0,0,0,0,0,1,0,0,0,0,0,0,408.261640946674,10,0
6099,0,0,0,0,0,0,1,0,0,0,0,0,0,408.328591035383,10,0
6100,1,0,0,0,0,0,1,0,0,0,1,0,1,408.395541124092,10,0
6101,0,0,0,1,0,0,0,0,1,0,0,0,1,408.462491212801,10,0
6102,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52944130151,10,0
6103,0,0,0,0,0,0,0,0,0,0,0,0,0,408.596391390219,10,0
6104,1,0,0,0,0,0,0,0,0,0,1,0,1,408.663341478927,10,0
6105,0,0,0,0,0,0,1,0,0,0,0,0,0,408.730291567636,10,0
6106,0,0,0,0,0,0,1,0,0,0,0,0,0,408.797241656345,10,0
6107,1,0,0,0,0,0,0,0,0,0,1,0,1,408.864191745054,10,0
6108,0,0,0,0,0,0,1,0,0,0,0,0,0,408.931141833763,10,0
6109,0,0,1,0,0,0,1,0,0,0,0,0,0,408.998091922472,10,0
6653,0,0,0,0,0,0,0,0,0,0,0,0,0,445.418940180096,11,0
6654,0,0,0,0,0,0,0,0,0,0,0,0,0,445.485890268805,11,0
6655,0,0,0,0,0,0,0,0,0,0,0,0,0,445.552840357513,11,0
6656,0,0,0,0,0,0,0,0,0,0,0,0,0,445.619790446222,11,0
6657,0,0,0,0,0,0,0,0,0,0,0,0,0,445.686740534931,11,0
6658,0,0,0,0,0,0,0,0,0,0,0,0,0,445.75369062364,11,0
6659,0,0,0,0,0,0,0,0,0,0,0,0,0,445.820640712349,11,0
6660,0,0,0,0,0,0,0,0,0,0,0,0,0,445.887590801058,11,0
6661,0,0,0,0,0,0,0,0,0,0,0,0,0,445.954540889767,11,0
6662,0,0,0,0,0,0,0,0,0,0,0,0,0,446.021490978476,11,0
6663,0,0,0,0,0,0,0,0,0,0,0,0,0,446.088441067184,11,0
6664,0,0,0,0,0,0,0,0,0,0,0,0,0,446.155391155893,11,0
6665,0,0,0,0,0,0,0,0,0,0,0,0,0,446.222341244602,11,0
6666,0,0,0,0,0,0,0,0,0,0,0,0,0,446.289291333311,11,0
6667,0,0,0,0,0,0,0,0,0,0,0,0,0,446.35624142202,11,0
6668,0,0,0,1,0,0,0,1,0,0,0,1,0,446.423191510729,11,0
6669,1,0,0,0,0,0,0,0,0,0,1,0,1,446.490141599438,11,0
6670,0,0,0,0,0,0,0,0,0,0,0,0,0,446.557091688146,11,0
6671,0,0,0,1,0,0,1,0,0,0,0,0,1,446.624041776855,11,0
6672,0,0,0,0,0,0,1,0,0,0,0,0,0,446.690991865564,11,0
6673,1,0,0,0,0,0,1,0,0,0,1,0,1,446.757941954273,11,0
6674,0,0,0,0,0,0,0,0,0,0,0,0,0,446.824892042982,11,0
6675,0,0,0,0,0,0,1,0,0,0,0,0,0,446.891842131691,11,0
6676,0,0,0,0,0,0,1,0,0,0,0,0,0,446.9587922204,11,0
6677,1,0,0,0,0,0,0,0,0,0,1,0,1,447.025742309109,11,0
